System_Name,Tm (Liquidus)
Hg,-38.9
Cs,28.4
Ga,29.8
Rb,39.5
K,63.2
Na,97.8
S,115.2
In,156.6
Li,180.5
Se,220.8
Sn,231.9
Bi,271.4
Tl,304.0
Cd,321.1
Pb,327.4
Zn,419.5
Te,449.5
Sb,630.6
Mg,649.9
Al,660.3
Ba,726.9
Sr,776.9
As,817.0
Ca,841.9
Ge,938.3
Ag,961.8
Sn14.0Bi35.9In50.1,59.5
Sn19.6Bi31.6In48.8,59.0
Sn20.6Bi31.6In48.4,58.0
Sn13.3Bi50Cd10Pb26.7,72.14
Sn18.0Bi57.2In24.8,77.5
Sn16.3Bi54.0In29.7,81.0
Bi51.6Cd8.2Pb40.2,92.97
Sn26Bi53Cd21,92.55
Sn22Bi50Pb28,97.06
In4Sn40Bi56,101.13
Sn51.2Cd30.6Pb18.2,144.99
Ga20Bi40In40,161
Ga40Bi30In30,262.1
Ga60Bi20In20,279.5
Ga80Bi10In10,243.7
In20Ga40Bi40,257.9
In40Ga30Bi30,213
In60Ga20Bi20,133.2
In80Ga10Bi10,71.2
Bi20Ga40In40,229.1
Bi40Ga30In30,226
Bi60Ga20In20,169
Bi80Ga10In10,219.2
Ag20Bi40Ga40,347.68
Ag40Bi30Ga30,399.86
Ag60Bi20Ga20,505.27
Ag80Bi10Ga10,736.28
Ag40Bi20Ga40,393.7
Ag30Bi40Ga30,402.68
Ag20Bi60Ga20,440.23
Ag10Bi80Ga10,395.62
Ag40Bi40Ga20,420.82
Ag30Bi30Ga40,368.2
Ag20Bi20Ga60,318.2
Ag10Bi10Ga80,266.4
Bi90Ga7Ni3,896
Bi90Ga4Ni6,905
Bi90Ga2Ni8,875
Bi80Ga16Ni4,995
Bi80Ga10Ni10,995
Bi80Ga4Ni16,1006
Bi30Ga52.5Sb17.5,602
Bi30Ga30Sb40,644
Bi25Ga25Sb50,647
Bi20Ga20Sb60,646
Bi10Ga10Sb80,594
Bi30Ga35Sb35,632
Bi40Ga30Sb30,612
Bi50Ga25Sb25,607
Bi60Ga20Sb20,607
Bi70Ga15Sb15,590
Bi30Ga52.5Sb17.5,602
Bi50Ga37.5Sb12.5,579
Bi60Ga30Sb10,559
Bi70Ga22.5Sb7.5,556
Bi80Ga15Sb5,517
Bi90Ga7.5Sb2.5,479
Bi10Ga22.5Sb67.5,654
Bi30Ga17.5Sb52.5,634
Bi60Ga10Sb30,575
Bi80Ga5Sb15,564
Bi90Ga2.5Sb7.5,504
Bi20Ga40Sn40,122.3
Bi40Ga30Sn30,170.3
Bi60Ga20Sn20,205.6
Bi80Ga10Sn10,233.1
Bi40Ga20Sn40,160.4
Bi30Ga40Sn30,168.5
Bi20Ga60Sn20,169.1
Bi10Ga80Sn10,183
Bi40Ga40Sn20,179.5
Bi30Ga30Sn40,143.8
Bi20Ga20Sn60,129.8
Bi10Ga10Sn80,189.8
Ga20Sb40Sn40,598
Ga40Sb30Sn30,631.2
Ga60Sb20Sn20,606.8
Ga80Sb10Sn10,560.9
Ga40Sb20Sn40,560.5
Ga30Sb40Sn30,628.9
Ga20Sb60Sn20,623.6
Ga10Sb80Sn10,577.7
Ga30Sb30Sn40,593.8